fecha,red,impresiones,visualizaciones,alcance,seguidores_nuevos,likes,comentarios,compartidos,mensajes,seguidores_total
2025-11-27,Facebook,,0,,0,,,,0,
2025-11-28,Facebook,,0,,0,,,,0,
2025-11-29,Facebook,,0,,0,,,,0,
2025-11-30,Facebook,,0,,0,,,,0,
2025-12-01,Facebook,,0,,0,,,,0,
2025-12-03,Facebook,,0,,0,,,,0,
2025-12-04,Facebook,,0,,0,,,,0,
2025-12-05,Facebook,,0,,0,,,,0,
2025-12-06,Facebook,,0,,0,,,,0,
2025-12-07,Facebook,,0,,0,,,,0,
2025-12-08,Facebook,,0,,0,,,,0,
2025-12-09,Facebook,,0,,0,,,,0,
2025-12-10,Facebook,,0,,0,,,,0,
2025-12-11,Facebook,,0,,0,,,,0,
2025-12-12,Facebook,,0,,0,,,,0,
2025-12-13,Facebook,,0,,0,,,,0,
2025-12-14,Facebook,,0,,0,,,,0,
2025-12-15,Facebook,,0,,0,,,,0,
2025-12-16,Facebook,,0,,0,,,,0,
2025-12-17,Facebook,,0,,0,,,,0,
2025-12-18,Facebook,,0,,0,,,,0,
2025-12-19,Facebook,,0,,0,,,,0,
2025-12-20,Facebook,,0,,0,,,,0,
2025-12-21,Facebook,,0,,0,,,,0,
2025-12-22,Facebook,,0,,0,,,,0,
2025-12-23,Facebook,,0,,0,,,,0,
2025-12-24,Facebook,,0,,0,,,,0,
2025-12-25,Facebook,,0,,0,,,,0,
2025-12-26,Facebook,,0,,0,,,,0,
2025-12-27,Facebook,,0,,0,,,,0,
2025-12-28,Facebook,,0,,0,,,,0,
2025-12-29,Facebook,,0,,0,,,,0,
2025-12-30,Facebook,,0,,0,,,,0,
2025-12-31,Facebook,,0,,0,,,,0,
2026-01-02,Facebook,,0,,0,,,,0,
2026-01-03,Facebook,,0,,0,,,,0,
2026-01-04,Facebook,,0,,0,,,,0,
2026-01-05,Facebook,,0,,0,,,,0,
2026-01-06,Facebook,,0,,0,,,,0,
2026-01-07,Facebook,,0,,0,,,,0,
2026-01-08,Facebook,,0,,0,,,,0,
2026-01-09,Facebook,,0,,0,,,,0,
2026-01-10,Facebook,,0,,0,,,,0,
2026-01-11,Facebook,,0,,0,,,,0,
2026-01-12,Facebook,,0,,0,,,,0,
2026-01-13,Facebook,,0,,0,,,,0,
2026-01-14,Facebook,,0,,0,,,,0,
2026-01-15,Facebook,,0,,0,,,,0,
2026-01-16,Facebook,,0,,0,,,,0,
2026-01-17,Facebook,,0,,0,,,,0,
2026-01-18,Facebook,,0,,0,,,,0,
2026-01-19,Facebook,,0,,0,,,,0,
2026-01-20,Facebook,,0,,0,,,,0,
2026-01-21,Facebook,,0,,0,,,,0,
2026-01-22,Facebook,,0,,0,,,,0,
2026-01-23,Facebook,,0,,0,,,,0,
2026-01-24,Facebook,,0,,0,,,,0,
2026-01-25,Facebook,,0,,0,,,,0,
2026-01-26,Facebook,,0,,0,,,,0,
2026-01-27,Facebook,,0,,0,,,,0,
2026-01-28,Facebook,,0,,0,,,,0,
2026-01-29,Facebook,,0,,0,,,,0,
2026-01-30,Facebook,,0,,0,,,,0,
2026-02-01,Facebook,,0,,0,,,,0,
